review,product_name,rating
"Delivered in 2 days! The saree fabric is exactly as shown in the photo. Very happy with the purchase.",Silk Saree,5
"The phone heats up a lot during gaming. Battery drains fast. Not worth the price at all.",Smartphone,2
"Good quality earphones for the price. Bass is decent but mic quality could be better.",Earphones,3
"Absolutely love this kurta! The stitching is perfect and the colour did not fade after washing.",Cotton Kurta,5
"The mixer grinder stopped working after 3 uses. Extremely disappointed. Want a refund.",Mixer Grinder,1
"Textbook condition was okay but delivery took 10 days. Expected faster shipping.",GATE Prep Book,3
"Best laptop stand I have bought. Sturdy, adjustable and my neck pain is completely gone!",Laptop Stand,5
"Wrong size delivered. I ordered L but received S. Return process was very complicated.",Sports Shoes,1
"The LED bulbs are very bright and energy efficient. Using them for 3 months, no issues.",LED Bulbs,5
"Average product. Works fine but the build quality feels cheap for this price range.",Bluetooth Speaker,3
